"Abbevillecity_al,"	"0.0455,0.0048,0.0203,23266.0,23266.0,0.4016,0.3552,0.9797,0.0,0.9628,0.0083,0.7847,0.179,0.0,0.0516,0.0289"
"Adamsvillecity_al,"	"0.0054,39563.0,39563.0,0.9946,0.0032,0.9563,0.0179,0.8461,0.1245,0.0,0.0585,0.0227"
"Addisontown_al,"	"0.0042,22235.0,22235.0,0.9958,0.0,0.9867,0.0,0.8383,0.1388,0.0,0.0562,0.0133"
"Akrontown_al,"	"0.0121,0.0,0.0,19875.0,19875.0,0.5879,0.2909,1.0,0.0,0.9956,0.0044,0.7943,0.1979,0.0,0.0703,0.0"
"Alabastercity_al,"	"0.0551,0.0048,0.0222,58379.0,58379.0,0.4828,0.0874,0.9778,0.0,0.9333,0.0224,0.9057,0.0701,0.001,0.0522,0.0434"
"Albertvillecity_al,"	"0.0645,0.0043,0.1223,31893.0,31893.0,0.4286,0.3463,0.8777,0.0017,0.8874,0.0155,0.8539,0.113,0.0,0.0629,0.0955"
"AlexanderCitycity_al,"	"0.0408,0.0019,0.0064,29309.0,29309.0,0.504,0.2595,0.9936,0.0076,0.9454,0.0099,0.8296,0.138,0.0015,0.0536,0.0357"
"AlexandriaCDP_al,"	"0.0143,0.9857,0.0,0.9701,0.0249,0.8623,0.1036,0.0,0.0671,0.005"
"Alicevillecity_al,"	"0.0232,0.0,0.0048,17092.0,17092.0,0.4686,0.3428,0.9952,0.0031,0.9886,0.0083,0.7898,0.1784,0.0,0.0465,0.0"
"Allgoodtown_al,"	"0.2405,29583.0,29583.0,0.7595,0.0,0.6798,0.0,0.8565,0.1148,0.0112,0.0909,0.309"
"Altoonatown_al,"	"0.0244,0.0031,0.0328,20469.0,20469.0,0.4748,0.4031,0.9672,0.0052,0.9536,0.0129,0.8013,0.1759,0.0,0.0544,0.0284"
"Andalusiacity_al,"	"0.0031,26856.0,26856.0,0.9969,0.0027,0.9637,0.0076,0.8181,0.1462,0.0,0.0684,0.0259"
"Andersontown_al,"	"0.0,1.0,0.0,0.9933,0.0,0.8052,0.1648,0.0,0.0449,0.0067"
"Annistoncity_al,"	"0.0484,0.0066,0.0224,27385.0,27385.0,0.4996,0.2187,0.9776,0.0076,0.9424,0.0201,0.8113,0.1566,0.0016,0.0568,0.0283"
"Arabcity_al,"	"0.011,36716.0,36716.0,0.989,0.0,0.9717,0.0088,0.8638,0.1086,0.0,0.0441,0.0195"
"Ardmoretown_al,"	"0.0165,28352.0,28352.0,0.9835,0.0043,0.9529,0.0193,0.8524,0.1341,0.0,0.0369,0.0236"
"Argotown_al,"	"0.0022,41167.0,41167.0,0.9978,0.0,0.9736,0.0078,0.865,0.1143,0.0,0.0483,0.0186"
"Aritontown_al,"	"0.0,21083.0,21083.0,1.0,0.0,0.9842,0.0158,0.7843,0.1912,0.0,0.0556,0.0"
"Arleytown_al,"	"0.0,1.0,0.0,0.9524,0.0,0.7774,0.1752,0.0,0.0839,0.0476"
"Ashfordcity_al,"	"0.0702,0.0024,0.0047,29444.0,29444.0,0.5159,0.2506,0.9953,0.0028,0.9749,0.0084,0.8381,0.1317,0.0028,0.048,0.0111"
"Ashlandcity_al,"	"0.0063,23469.0,23469.0,0.9937,0.0,0.9733,0.0085,0.8016,0.1736,0.0,0.0342,0.0182"
"Ashvilletown_al,"	"0.0728,0.0,0.0069,31509.0,31509.0,0.4885,0.3095,0.9931,0.0012,0.9449,0.0228,0.7997,0.1734,0.0,0.0516,0.0311"
"Athenscity_al,"	"0.0297,33980.0,33980.0,0.9703,0.0021,0.9271,0.0194,0.8473,0.1258,0.0009,0.053,0.0506"
"Atmorecity_al,"	"0.0433,0.0,0.0079,22867.0,22867.0,0.5165,0.2476,0.9921,0.0019,0.9635,0.0084,0.8135,0.1554,0.0044,0.0653,0.0218"
"Attallacity_al,"	"0.0654,0.0,0.0136,27444.0,27444.0,0.5545,0.2702,0.9864,0.0019,0.964,0.0,0.8225,0.1439,0.0,0.0793,0.0342"
"Auburncity_al,"	"0.0482,0.1034,0.0491,17206.0,17206.0,0.3042,0.0676,0.9509,0.0316,0.8896,0.031,0.7615,0.1078,0.0075,0.1931,0.0404"
"Autaugavilletown_al,"	"0.0026,0.9974,0.0,0.9928,0.0,0.8055,0.1505,0.0,0.0752,0.0072"
"Avontown_al,"	"0.0963,0.0,0.0047,37679.0,37679.0,0.5415,0.2226,0.9953,0.0,0.9834,0.0,0.8729,0.1045,0.0,0.0593,0.0166"
"Babbietown_al,"	"0.0611,0.0,0.0,0.4751,0.3552,1.0,0.0,0.9849,0.0151,0.8401,0.1518,0.0,0.0344,0.0"
"Baileytontown_al,"	"0.0029,31000.0,31000.0,0.9971,0.0109,0.9783,0.0,0.8665,0.1122,0.0,0.0445,0.0109"
"Bankstown_al,"	"0.0,0.0,0.0,0.4937,0.3544,1.0,0.0,0.945,0.0275,0.8883,0.0638,0.0,0.0479,0.0275"
"BayMinettecity_al,"	"0.079,0.0037,0.0095,27226.0,27226.0,0.4593,0.2501,0.9905,0.0077,0.9527,0.0132,0.8031,0.1576,0.0,0.0641,0.0264"
"BayouLaBatrecity_al,"	"0.1682,24539.0,24539.0,0.8318,0.2095,0.7325,0.0303,0.8009,0.1633,0.0,0.0515,0.0277"
"BearCreektown_al,"	"0.0038,27813.0,27813.0,0.9962,0.0,0.9742,0.0,0.8313,0.1422,0.007,0.0651,0.0188"
"Beatricetown_al,"	"0.0,1.0,0.0,0.9384,0.0137,0.6859,0.2628,0.0,0.0513,0.0479"
"Beavertontown_al,"	"0.036,20250.0,20250.0,0.964,0.0,0.9684,0.0,0.8187,0.1484,0.0,0.0549,0.0316"
"Belktown_al,"	"0.0,32188.0,32188.0,1.0,0.0,1.0,0.0,0.9157,0.0674,0.0,0.0337,0.0"
"Bentontown_al,"	"0.0,1.0,0.0,1.0,0.0,0.8462,0.1538,0.0,0.0385,0.0"
"Berrytown_al,"	"0.0016,20214.0,20214.0,0.9984,0.0,0.9903,0.0039,0.8062,0.1561,0.0,0.0614,0.0058"
"Bessemercity_al,"	"0.0604,0.0014,0.0089,23066.0,23066.0,0.522,0.256,0.9911,0.0012,0.963,0.0148,0.7794,0.1899,0.0031,0.0604,0.0179"
"Billingsleytown_al,"	"0.0,1.0,0.0,1.0,0.0,0.8495,0.1505,0.0,0.0108,0.0"
"Birminghamcity_al,"	"0.0571,0.0076,0.0211,26735.0,26735.0,0.5126,0.1854,0.9789,0.0072,0.9304,0.0191,0.8063,0.149,0.0049,0.073,0.0384"
"Blacktown_al,"	"0.0,1.0,0.0,0.9634,0.0366,0.8434,0.1205,0.0,0.0482,0.0"
"Blountsvilletown_al,"	"0.0961,24432.0,24432.0,0.9039,0.0,0.8698,0.0121,0.836,0.1357,0.0,0.0631,0.1181"
"BlueMountaintown_al,"	"0.1168,0.8832,0.0,0.898,0.0204,0.8721,0.1279,0.0,0.0,0.0816"
"BlueRidgeCDP_al,"	"0.0109,0.9891,0.0,0.9379,0.0228,0.8372,0.0983,0.0,0.1069,0.0393"
"BlueSpringstown_al,"	"0.0,1.0,0.0,1.0,0.0,0.9054,0.0405,0.0,0.0946,0.0"
"Boazcity_al,"	"0.0454,0.0038,0.0403,25699.0,25699.0,0.5112,0.2935,0.9597,0.004,0.9322,0.0071,0.8075,0.1522,0.0025,0.0655,0.0543"
"Boligeetown_al,"	"0.0,15000.0,15000.0,1.0,0.0,1.0,0.0,0.747,0.1818,0.0,0.1383,0.0"
"BonAirtown_al,"	"0.0161,0.9839,0.0,0.8649,0.0541,0.8,0.1455,0.0,0.0727,0.0811"
"Branchvilletown_al,"	"0.0036,40438.0,40438.0,0.9964,0.0,0.9621,0.0204,0.8231,0.1469,0.0,0.057,0.0175"
"Brantleytown_al,"	"0.0022,21574.0,21574.0,0.9978,0.0,0.9767,0.0026,0.8122,0.1391,0.0,0.0709,0.0207"
"Brentcity_al,"	"0.0035,21287.0,21287.0,0.9965,0.0,0.954,0.009,0.5774,0.3447,0.0108,0.0933,0.0261"
"Brewtoncity_al,"	"0.0606,0.0065,0.0035,34234.0,34234.0,0.4932,0.1846,0.9965,0.0031,0.9771,0.0049,0.8406,0.1267,0.0,0.0629,0.0148"
"Bridgeportcity_al,"	"0.0483,0.0,0.0088,28981.0,28981.0,0.4903,0.3648,0.9912,0.0,0.958,0.012,0.8697,0.1069,0.0,0.0731,0.03"
"Brightoncity_al,"	"0.0,21364.0,21364.0,1.0,0.0,0.9228,0.0245,0.7519,0.2249,0.0059,0.0372,0.0467"
"Brillianttown_al,"	"0.0,18224.0,18224.0,1.0,0.0,0.9912,0.0,0.7951,0.1626,0.0,0.0618,0.0088"
"Brooksidetown_al,"	"0.0043,29792.0,29792.0,0.9957,0.0,0.9904,0.0076,0.8131,0.1526,0.0,0.0611,0.0019"
"Brookwoodtown_al,"	"0.0028,0.9972,0.0,0.9799,0.011,0.8607,0.11,0.0,0.0568,0.0092"
"Brundidgecity_al,"	"0.0013,16774.0,16774.0,0.9987,0.0039,0.963,0.0117,0.8027,0.1692,0.0,0.0486,0.0214"
"Butlercity_al,"	"0.0435,0.0015,0.0093,35302.0,35302.0,0.5098,0.2057,0.9907,0.0026,0.9435,0.021,0.8081,0.1672,0.0,0.0488,0.0329"
"BynumCDP_al,"	"0.0039,34375.0,34375.0,0.9961,0.0,0.9876,0.0124,0.8282,0.1168,0.0,0.0862,0.0"
"CahabaHeightsCDP_al,"	"0.0248,48250.0,48250.0,0.9752,0.0036,0.9411,0.0334,0.8785,0.1053,0.0,0.041,0.0219"
