"place,population,foreign,native,hh_income,pct_english,pct_asian_lang,pct_spanish,pct_euro,pct_asian,pct_white,pct_black,pct_other,pct_hispanic,pct_full_time,pct_no_work,pct_part_time,pct_urban"
"Abbevillecity_al,"	"2987.0,0.0203,0.9797,23266.0,0.9628,0.0,0.0289,0.0083,0.0007,0.5665,0.3994,0.0,0.0352,0.4552,0.4633,0.0815,0.0"
"Adamsvillecity_al,"	"4965.0,0.0054,0.9946,39563.0,0.9563,0.0032,0.0227,0.0179,0.0014,0.7579,0.2282,0.0,0.0052,0.563,0.3322,0.1048,0.0"
"Addisontown_al,"	"723.0,0.0042,0.9958,22235.0,0.9867,0.0,0.0133,0.0,0.0014,0.9945,0.0014,0.0,0.0014,0.4868,0.3831,0.1301,0.0"
"Akrontown_al,"	"521.0,0.0,1.0,19875.0,0.9956,0.0,0.0,0.0044,0.0,0.1785,0.81,0.0,0.0154,0.4531,0.4661,0.0807,0.0"
"Alabastercity_al,"	"22619.0,0.0222,0.9778,58379.0,0.9333,0.0,0.0434,0.0224,0.0064,0.8771,0.0995,0.001,0.0154,0.6616,0.2256,0.1128,0.0"
"Albertvillecity_al,"	"17247.0,0.1223,0.8777,31893.0,0.8874,0.0017,0.0955,0.0155,0.0026,0.8615,0.0205,0.0,0.1608,0.5347,0.3631,0.1022,0.0"
"AlexanderCitycity_al,"	"15008.0,0.0064,0.9936,29309.0,0.9454,0.0076,0.0357,0.0099,0.0028,0.7056,0.2837,0.0015,0.0045,0.5107,0.3928,0.0965,0.0"
"AlexandriaCDP_al,"	"3692.0,0.0143,0.9857,missing,0.9701,0.0,0.005,0.0249,0.006,0.8843,0.0975,0.0,0.0065,0.599,0.2835,0.1175,0.0"
"Alicevillecity_al,"	"2567.0,0.0048,0.9952,17092.0,0.9886,0.0031,0.0,0.0083,0.0031,0.3229,0.6654,0.0,0.0039,0.3574,0.5369,0.1056,0.0"
"Allgoodtown_al,"	"629.0,0.2405,0.7595,29583.0,0.6798,0.0,0.309,0.0,0.0,0.8394,0.0032,0.0112,0.434,0.5742,0.299,0.1268,0.0"
"Altoonatown_al,"	"984.0,0.0328,0.9672,20469.0,0.9536,0.0052,0.0284,0.0129,0.0,0.9543,0.0254,0.0,0.0254,0.3696,0.5165,0.1139,0.0"
"Andalusiacity_al,"	"8794.0,0.0031,0.9969,26856.0,0.9637,0.0027,0.0259,0.0076,0.0027,0.7393,0.2447,0.0,0.0078,0.4778,0.4155,0.1067,0.0"
"Andersontown_al,"	"354.0,0.0,1.0,missing,0.9933,0.0,0.0067,0.0,0.0,0.9915,0.0,0.0,0.0,0.4157,0.4757,0.1086,0.0"
"Annistoncity_al,"	"24276.0,0.0224,0.9776,27385.0,0.9424,0.0076,0.0283,0.0201,0.0078,0.4871,0.4869,0.0016,0.0168,0.4699,0.4215,0.1086,0.0"
"Arabcity_al,"	"7174.0,0.011,0.989,36716.0,0.9717,0.0,0.0195,0.0088,0.0039,0.9829,0.0018,0.0,0.0066,0.5388,0.3657,0.0956,0.0"
"Ardmoretown_al,"	"1034.0,0.0165,0.9835,28352.0,0.9529,0.0043,0.0236,0.0193,0.0077,0.9623,0.0087,0.0,0.0174,0.5301,0.3727,0.0972,0.0"
"Argotown_al,"	"1780.0,0.0022,0.9978,41167.0,0.9736,0.0,0.0186,0.0078,0.0006,0.9882,0.0017,0.0,0.0073,0.602,0.2929,0.1051,0.0"
"Aritontown_al,"	"772.0,0.0,1.0,21083.0,0.9842,0.0,0.0,0.0158,0.0,0.693,0.2927,0.0,0.0078,0.433,0.4902,0.0768,0.0"
"Arleytown_al,"	"290.0,0.0,1.0,missing,0.9524,0.0,0.0476,0.0,0.0,0.9931,0.0,0.0,0.0138,0.5036,0.3942,0.1022,0.0"
"Ashfordcity_al,"	"1853.0,0.0047,0.9953,29444.0,0.9749,0.0028,0.0111,0.0084,0.0005,0.7145,0.2752,0.0028,0.0151,0.4801,0.3985,0.1214,0.0"
"Ashlandcity_al,"	"1965.0,0.0063,0.9937,23469.0,0.9733,0.0,0.0182,0.0085,0.001,0.7374,0.2529,0.0,0.027,0.4202,0.5082,0.0716,0.0"
"Ashvilletown_al,"	"2260.0,0.0069,0.9931,31509.0,0.9449,0.0012,0.0311,0.0228,0.0018,0.6942,0.2655,0.0,0.0288,0.4857,0.4248,0.0895,0.0"
"Athenscity_al,"	"18967.0,0.0297,0.9703,33980.0,0.9271,0.0021,0.0506,0.0194,0.0071,0.7772,0.1826,0.0009,0.0486,0.525,0.3667,0.1083,0.0"
"Atmorecity_al,"	"7676.0,0.0079,0.9921,22867.0,0.9635,0.0019,0.0218,0.0084,0.0047,0.4948,0.4631,0.0044,0.0073,0.481,0.4216,0.0974,0.0"
"Attallacity_al,"	"6592.0,0.0136,0.9864,27444.0,0.964,0.0019,0.0342,0.0,0.0018,0.8394,0.1323,0.0,0.0249,0.4779,0.4051,0.117,0.0"
"Auburncity_al,"	"42987.0,0.0491,0.9509,17206.0,0.8896,0.0316,0.0404,0.031,0.0331,0.7805,0.1679,0.0075,0.0155,0.436,0.2385,0.3255,0.0"
"Autaugavilletown_al,"	"820.0,0.0026,0.9974,missing,0.9928,0.0,0.0072,0.0,0.0,0.3232,0.6598,0.0,0.0098,0.4606,0.4239,0.1156,0.0"
"Avontown_al,"	"466.0,0.0047,0.9953,37679.0,0.9834,0.0,0.0166,0.0,0.0,0.9442,0.0429,0.0,0.0043,0.6271,0.2768,0.096,0.0"
"Babbietown_al,"	"627.0,0.0,1.0,missing,0.9849,0.0,0.0,0.0151,0.0032,0.9888,0.0016,0.0,0.0,0.5304,0.3826,0.087,0.0"
"Baileytontown_al,"	"684.0,0.0029,0.9971,31000.0,0.9783,0.0109,0.0109,0.0,0.0015,0.9956,0.0,0.0,0.0,0.5513,0.3308,0.118,0.0"
"Bankstown_al,"	"224.0,0.0,1.0,missing,0.945,0.0,0.0275,0.0275,0.0,0.8482,0.1027,0.0,0.0089,0.4574,0.4255,0.117,0.0"
"BayMinettecity_al,"	"7820.0,0.0095,0.9905,27226.0,0.9527,0.0077,0.0264,0.0132,0.0043,0.6432,0.3347,0.0,0.0102,0.5012,0.4003,0.0984,0.0"
"BayouLaBatrecity_al,"	"2313.0,0.1682,0.8318,24539.0,0.7325,0.2095,0.0277,0.0303,0.3329,0.5244,0.1025,0.0,0.019,0.4461,0.4133,0.1405,0.0"
