place,lat,lon,population,foreign,native,hh_income,pct_english,pct_asian_lang,pct_spanish,pct_euro,pct_asian,pct_white,pct_black,pct_other,pct_hispanic,pct_full_time,pct_no_work,pct_part_time,pct_urban,less_than_hs,less_bachelors,doctorate
Abbevillecity_AL,31.5664,-85.2513,2987.0,0.0203,0.9797,23266.0,0.9628,0.0,0.0289,0.0083,0.0007,0.5665,0.3994,0.0,0.0352,0.7847,0.179,0.0516,0.0,0.3552,0.4016,0.0048
Abram-PerezvilleCDP_TX,26.2388,-98.4047,5444.0,0.3011,0.6989,22532.0,0.3345,0.0,0.66,0.0054,0.0006,0.4717,0.0022,0.0,0.8159,0.7482,0.2179,0.0663,0.0,0.485,0.4038,0.0
Accomactown_VA,37.7187,-75.6673,547.0,0.0265,0.9735,missing,0.9588,0.0103,0.0309,0.0,0.0256,0.7112,0.2468,0.0,0.0219,0.7687,0.1606,0.0728,0.0,missing,missing,missing
Ackerlycity_TX,32.5256,-101.7142,245.0,0.2137,0.7863,27222.0,0.4487,0.0,0.5513,0.0,0.0,0.698,0.0,0.0,0.4898,0.8042,0.1111,0.1217,0.0,missing,missing,missing
Ackermantown_MS,33.3114,-89.1747,1696.0,0.0042,0.9958,21287.0,0.9689,0.0,0.024,0.0042,0.0059,0.6297,0.3485,0.0028,0.0147,0.8073,0.1759,0.0495,0.0,0.276,0.4611,0.0078
Adamsvillevillage_OH,40.0698,-81.8828,127.0,0.0,1.0,missing,0.8333,0.0,0.0,0.1667,0.0,1.0,0.0,0.0,0.0,0.7769,0.1322,0.1488,0.0,missing,missing,missing
Addisonvillage_MI,41.9872,-84.3459,627.0,0.0079,0.9921,missing,0.9671,0.0,0.0247,0.0082,0.0096,0.9841,0.0,0.0,0.0207,0.8908,0.107,0.0502,0.0,missing,missing,missing
Adelcity_IA,41.6168,-94.0217,3435.0,0.0152,0.9848,39423.0,0.9638,0.0,0.0199,0.0162,0.0041,0.9776,0.0015,0.0,0.0128,0.8535,0.0946,0.0713,0.0,missing,missing,missing
Adellvillage_WI,43.6184,-87.9514,517.0,0.0112,0.9888,missing,0.9223,0.0097,0.0194,0.0485,0.0039,0.9749,0.0,0.0,0.0232,0.8737,0.0954,0.0644,0.0,missing,missing,missing
Adriancity_MN,43.6345,-95.9341,1234.0,0.0289,0.9711,35927.0,0.9195,0.0121,0.0201,0.0483,0.0032,0.9643,0.0024,0.0,0.0292,0.8573,0.1099,0.0729,0.0,missing,missing,missing
